| VERSION | HEAD_UUID   | ITEM_NUMBER | SUPPLIER_ID | BUNDLE_UNIT | LAST_RUN_TIMESTAMP         | WAREHOUSE_ID | BEZ                           | QUALITY_CLASS | WAGR | STATUS | ARTNR_A | ARTICLE_UUID |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| 1.0.0   | [B@7e38e254 | EK-89015    | 552949      | 1           | 2025-03-22 09:37:03.721446 | OG           | MANDARINEN 1KG                | 1             | 1111 | 0      | 1163283 | [B@7b3feb26  |
| 1.0.0   | [B@2e4ecdf8 | EK-89015    | 999999      | 1           | 2025-03-22 09:37:03.721446 | OG           | MANDARINEN 1KG                | 1             | 1111 | 0      | 1163283 | [B@503a7990  |
| 1.0.0   | [B@69a90b81 | EK-89040    | 552949      | 1           | 2025-03-22 09:37:03.721446 | OG           | ORANGEN 2KG                   | 1             | 1111 | 0      | 1163307 | [B@6dcbbb49  |
| 1.0.0   | [B@35329a05 | EK-89040    | 999999      | 1           | 2025-03-22 09:37:03.721446 | OG           | ORANGEN 2KG                   | 1             | 1111 | 0      | 1163307 | [B@36c783ca  |
| 1.0.0   | [B@17136390 | EK-89045    | 552949      | 1           | 2025-03-22 09:37:03.721446 | OG           | ORANGEN GELEGT                | 1             | 1111 | 0      | 1163312 | [B@273293c8  |
| 1.0.0   | [B@6f1d799  | EK-532640   | 552949      | 1           | 2025-03-22 09:37:03.721446 | OG           | BILLA IMMER GUT ORANGEN 1,5KG | 1             | 1111 | 0      | 3443644 | [B@ca2cd5e   |
| 1.0.0   | [B@a120b9   | EK-534552   | 999999      | 1           | 2025-03-22 09:37:03.721446 | OG           | CLEVER ZITRONEN 1KG           | 1             | 1111 | 0      | 3452211 | [B@333e5fb6  |
| 1.0.0   | [B@3b7b0b57 | EK-89032    | 377540      | 1           | 2025-03-22 09:37:03.721446 | OG           | PE ZITRONEN 1KG NETZ          | 1             | 1111 | 0      | 1163299 | [B@21a9f95b  |
| 1.0.0   | [B@2804b13f | EK-89046    | 552949      | 1           | 2025-03-22 09:37:03.721446 | OG           | ORANGEN 1KG                   | 1             | 1111 | 0      | 1163313 | [B@69069866  |
| 1.0.0   | [B@ac417a2  | EK-89046    | 552979      | 1           | 2025-03-22 09:37:03.721446 | OG           | ORANGEN 1KG                   | 1             | 1111 | 0      | 1163313 | [B@64c95480  |
| 1.0.0   | [B@69499c6f | EK-89046    | 999999      | 1           | 2025-03-22 09:37:03.721446 | OG           | ORANGEN 1KG                   | 1             | 1111 | 0      | 1163313 | [B@3451fc88  |
| 1.0.0   | [B@1e0294a7 | EK-368529   | null        | 1           | 2025-03-22 09:37:03.721446 | OG           | CLEMENTINEN GELEGT            | 1             | 1111 | 0      | 2430717 | [B@3041beb3  |
